state,start,end,duration_min,delta_pct,mean_slope,min_slope,max_slope
IRRIGATE,2025-11-20 04:33:00,2025-11-20 05:18:00,45.0,-1.2000000000000028,-0.04270833333333326,-0.2833333333333314,0.2833333333333314
EVAP,2025-11-20 07:00:00,2025-11-20 07:15:00,15.0,-0.14999999999999147,-0.01111111111111125,-0.0333333333333314,0.0166666666666657
IRRIGATE,2025-11-20 07:33:00,2025-11-20 07:51:00,18.0,-0.4000000000000057,-0.02619047619047673,-0.1500000000000009,0.099999999999999
IRRIGATE,2025-11-20 08:00:00,2025-11-20 08:12:00,12.0,-0.20000000000000284,-0.026666666666666082,-0.099999999999999,0.0666666666666676
IRRIGATE,2025-11-20 08:48:00,2025-11-20 09:09:00,21.0,-0.5500000000000114,-0.03958333333333344,-0.1333333333333305,0.0333333333333361
EVAP,2025-11-20 15:06:00,2025-11-20 15:18:00,12.0,-0.20000000000000284,-0.016666666666666642,-0.0333333333333361,0.0
IRRIGATE,2025-11-21 01:30:00,2025-11-21 02:06:00,36.0,0.15000000000000568,-0.014102564102564035,-0.2333333333333342,0.2333333333333342
IRRIGATE,2025-11-21 02:21:00,2025-11-21 02:45:00,24.0,-0.6499999999999915,-0.029629629629629513,-0.2999999999999971,0.1666666666666666
IRRIGATE,2025-11-21 03:06:00,2025-11-21 03:27:00,21.0,-0.5500000000000114,-0.037500000000000235,-0.1833333333333371,0.1500000000000056
IRRIGATE,2025-11-21 03:42:00,2025-11-21 03:57:00,15.0,0.10000000000000853,-0.016666666666666496,-0.1666666666666666,0.1833333333333276
IRRIGATE,2025-11-21 05:00:00,2025-11-21 05:15:00,15.0,0.15000000000000568,-0.03611111111111065,-0.2666666666666657,0.1666666666666666
IRRIGATE,2025-11-21 05:27:00,2025-11-21 05:45:00,18.0,-0.5499999999999972,-0.03809523809523796,-0.25,0.1500000000000009
IRRIGATE,2025-11-21 05:57:00,2025-11-21 06:15:00,18.0,-0.8499999999999943,-0.04999999999999984,-0.2000000000000028,0.0666666666666676
IRRIGATE,2025-11-21 07:12:00,2025-11-21 07:42:00,30.0,-1.25,-0.04696969696969731,-0.25,0.1333333333333352
IRRIGATE,2025-11-21 09:33:00,2025-11-21 10:03:00,30.0,-0.8833333333333258,-0.03434343434343412,-0.2833333333333361,0.2333333333333342
IRRIGATE,2025-11-21 11:57:00,2025-11-21 12:09:00,12.0,-0.7000000000000028,-0.06333333333333349,-0.1833333333333323,0.1333333333333352
IRRIGATE,2025-11-21 18:42:00,2025-11-21 18:54:00,12.0,-0.04999999999999716,-0.026666666666666082,-0.1166666666666647,0.0833333333333333
IRRIGATE,2025-11-21 22:15:00,2025-11-21 22:33:00,18.0,0.25,-0.011904761904761228,-0.1666666666666619,0.099999999999999
IRRIGATE,2025-11-21 22:57:00,2025-11-21 23:30:00,33.0,0.04999999999998295,-0.004166666666666805,-0.0833333333333333,0.1333333333333352
IRRIGATE,2025-11-22 06:18:00,2025-11-22 06:39:00,21.0,-1.3375000000000057,-0.06822916666666676,-0.2666666666666704,0.0333333333333314
IRRIGATE,2025-11-22 09:45:00,2025-11-22 09:57:00,12.0,-0.04999999999999716,-0.0233333333333339,-0.1333333333333352,0.1000000000000038
IRRIGATE,2025-11-22 14:51:00,2025-11-22 15:12:00,21.0,-0.04999999999999716,-0.024999999999999765,-0.1833333333333323,0.0333333333333361
IRRIGATE,2025-11-22 19:33:00,2025-11-22 20:09:00,36.0,-0.20000000000000284,-0.02051282051282079,-0.2833333333333361,0.2166666666666638
IRRIGATE,2025-11-22 20:21:00,2025-11-22 20:45:00,24.0,-0.05000000000001137,-0.03333333333333354,-0.2833333333333314,0.208333333333338
IRRIGATE,2025-11-22 20:54:00,2025-11-22 21:24:00,30.0,-0.8999999999999773,-0.009422348484848313,-0.2833333333333314,0.2500000000000047
IRRIGATE,2025-11-22 21:33:00,2025-11-22 22:00:00,27.0,-0.7333333333333343,-0.03333333333333333,-0.25,0.25
IRRIGATE,2025-11-22 22:09:00,2025-11-22 23:03:00,54.0,-0.9499999999999886,-0.019298245614034995,-0.2666666666666657,0.2833333333333314
IRRIGATE,2025-11-23 05:39:00,2025-11-23 05:57:00,18.0,-0.45000000000000284,-0.03571428571428569,-0.099999999999999,0.0333333333333361
IRRIGATE,2025-11-23 06:45:00,2025-11-23 07:03:00,18.0,-0.19999999999998863,-0.035714285714285705,-0.1833333333333371,0.1333333333333352
EVAP,2025-11-23 07:06:00,2025-11-23 07:54:00,48.0,-0.7999999999999972,-0.016666666666666805,-0.0333333333333361,0.0
IRRIGATE,2025-11-23 07:57:00,2025-11-23 09:09:00,72.0,-1.1500000000000057,-0.017333333333333284,-0.1833333333333323,0.2749999999999962
IRRIGATE,2025-11-23 09:18:00,2025-11-23 09:39:00,21.0,-0.5,-0.047916666666666885,-0.2166666666666685,0.1666666666666714
IRRIGATE,2025-11-23 10:45:00,2025-11-23 10:57:00,12.0,-0.6666666666666572,-0.05666666666666627,-0.2555555555555552,0.1333333333333352
FILL,2025-11-23 11:06:00,2025-11-23 11:24:00,18.0,0.5999999999999943,0.043650793650793863,-0.1499999999999962,0.2999999999999971
FILL,2025-11-23 11:54:00,2025-11-23 12:09:00,15.0,1.049999999999983,0.09444444444444378,0.0,0.2166666666666685
FILL,2025-11-23 13:09:00,2025-11-23 13:24:00,15.0,0.3999999999999915,0.03888888888888903,-0.1000000000000038,0.1833333333333371
IRRIGATE,2025-11-23 14:21:00,2025-11-23 14:45:00,24.0,-0.4375,-0.02916666666666699,-0.25,0.2833333333333314
IRRIGATE,2025-11-23 15:30:00,2025-11-23 15:45:00,15.0,-0.26111111111110574,-0.05061728395061732,-0.2166666666666685,0.0277777777777761
IRRIGATE,2025-11-23 21:12:00,2025-11-23 21:45:00,33.0,-1.0847222222222115,-0.0523533950617284,-0.2666666666666704,0.1388888888888904
IRRIGATE,2025-11-24 05:12:00,2025-11-24 05:30:00,18.0,-0.5499999999999972,-0.03571428571428572,-0.2999999999999971,0.2416666666666647
IRRIGATE,2025-11-24 05:48:00,2025-11-24 06:27:00,39.0,-1.3000000000000114,-0.042857142857143114,-0.2666666666666657,0.1666666666666666
IRRIGATE,2025-11-24 07:39:00,2025-11-24 08:33:00,54.0,-1.0,-0.021929824561403504,-0.2833333333333314,0.233333333333339
IRRIGATE,2025-11-24 08:48:00,2025-11-24 09:03:00,15.0,0.14999999999999147,-0.013888888888889686,-0.25,0.2666666666666704
IRRIGATE,2025-11-24 09:12:00,2025-11-24 09:27:00,15.0,0.2500000000000142,-0.005555555555555235,-0.1499999999999962,0.2666666666666657
FILL,2025-11-24 11:18:00,2025-11-24 11:27:00,9.0,-0.30000000000001137,0.04583333333333307,-0.1000000000000038,0.2833333333333361
FILL,2025-11-24 11:57:00,2025-11-24 12:03:00,6.0,-0.15000000000000568,0.011111111111110501,-0.0333333333333361,0.0833333333333333
FILL,2025-11-24 12:15:00,2025-11-24 12:30:00,15.0,0.5,0.04444444444444429,-0.1333333333333352,0.2666666666666657
FILL,2025-11-24 12:51:00,2025-11-24 13:00:00,9.0,-0.04999999999999716,0.04999999999999949,-0.099999999999999,0.2166666666666638
FILL,2025-11-24 13:15:00,2025-11-24 13:27:00,12.0,0.5,0.08666666666666557,-0.0333333333333361,0.266666666666661
FILL,2025-11-24 13:51:00,2025-11-24 13:57:00,6.0,-0.08749999999999147,0.07361111111111207,-0.2166666666666638,0.25
IRRIGATE,2025-11-24 14:42:00,2025-11-24 14:57:00,15.0,-0.20000000000000284,-0.05000000000000032,-0.2333333333333342,0.2333333333333342
IRRIGATE,2025-11-24 16:09:00,2025-11-24 16:42:00,33.0,-0.7000000000000028,-0.03055555555555578,-0.2638888888888857,0.1833333333333323
IRRIGATE,2025-11-24 17:03:00,2025-11-24 17:48:00,45.0,-1.4000000000000057,-0.0333333333333335,-0.2999999999999971,0.25
IRRIGATE,2025-12-03 19:48:00,2025-12-03 20:09:00,21.0,-0.15000000000000568,-0.012499999999999862,-0.0833333333333333,0.1499999999999962
IRRIGATE,2025-12-03 20:18:00,2025-12-03 20:30:00,12.0,0.09999999999999432,-0.010000000000000365,-0.1166666666666647,0.2833333333333314
IRRIGATE,2025-12-03 20:48:00,2025-12-03 21:00:00,12.0,0.15000000000000568,-0.003333333333332178,-0.0666666666666628,0.099999999999999
